Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,random,sr no
301.1,310.9,1282,67.9,10,1,932,261
300.5,309.8,1663,29.1,145,1,763,267
298,308.3,1362,56.8,216,1,934,10
295.6,306.1,1372,55.6,215,1,125,23
303.5,311.6,1361,46.5,62,1,101,216
302.6,311,1284,68,114,1,612,139
297.2,307.9,1326,75.4,172,1,19,322
298.1,308.6,1354,53.9,207,1,597,325
301.9,311,2691,12.1,31,1,298,107
297.4,308.7,2874,4.2,118,1,200,16
301.3,310.1,1269,56.8,195,1,164,79
303.9,313.2,1422,48,215,1,236,240
302.7,310.5,1446,40.9,211,1,282,174
302.5,310.9,1330,56.9,97,1,682,136
302.5,310.2,1307,54,86,1,52,178
297.4,308.5,1399,61.5,61,1,423,15
298.4,309.6,1710,27.3,163,1,471,311
300.1,311.3,2579,12.5,64,1,275,287
303.1,311.3,1336,52.6,172,1,335,194
300,311.4,1692,29,216,1,209,284
298.4,308.7,1421,60.7,119,1,517,8
302,310.8,1615,29,235,1,360,105
303,311.2,1341,51,174,1,69,195
297,307.9,1296,69.1,153,1,179,30
303.2,311.5,1336,58.2,2,1,546,212
303.4,311.9,1377,41.6,34,1,899,225
302.5,310.9,1356,55.5,101,1,462,137
295.7,306.2,2270,14.6,149,1,36,22
301.9,310.4,1376,54.9,126,1,880,112
301,310.6,1493,37.8,206,1,229,264
297.1,308.5,1323,44.4,207,1,146,315
298.7,309.8,1354,53.3,212,1,135,39
298.9,308.2,1372,63.6,30,1,888,62
300.5,310.5,2633,12.2,17,1,96,279
302.4,310.3,1378,54.3,165,1,424,172
303,312.2,1257,71.3,122,1,137,249
303.2,311.2,1363,46.7,29,1,760,214
302.7,310.5,1351,41.8,10,1,37,175
298.4,308,1416,38.2,198,1,170,52
301.9,310.4,1286,62.8,22,1,677,118
300.5,311.1,1296,61.3,202,1,271,290
302.1,310.6,1326,59.1,88,1,351,94
301.7,310.2,1331,61.2,47,1,755,120
303,311,1359,44.2,115,1,397,190
299.1,310,1367,56.3,203,1,686,330
302.1,310.1,1379,48.2,166,1,503,155
303.7,311.9,1332,52.7,66,1,750,217
302.1,311.2,1454,59.2,153,1,777,102
297.6,309.6,1501,49.8,222,1,884,17
301.4,310.7,1368,63.7,92,1,550,270
302.1,310.7,1294,62.4,101,1,966,109
302.7,310.7,1369,47.5,11,1,828,185
303.7,312.7,1359,56.8,194,1,670,232
298.3,308,2886,3.8,57,1,282,48
302.6,311.5,1629,34.4,228,1,476,97
295.8,306.3,1235,76.2,89,1,51,21
302.1,310.7,1364,47.8,213,1,34,117
298.7,310.1,1402,69.7,64,1,537,307
303.3,311.3,1350,48.1,32,1,978,201
298.1,307.7,2567,12.8,125,1,348,50
302.4,311,1338,67.6,194,1,695,96
302.3,311.8,1363,54,119,1,298,248
300.4,310.2,1671,30.5,234,1,834,255
300.3,311.7,1374,47.9,222,1,647,297
300.5,311.8,1368,57.9,191,1,125,294
299.2,309.1,1345,60.7,191,1,825,66
303.3,311.4,1497,46,234,1,936,199
297.3,308.3,1459,59.6,207,1,79,317
303.3,311.6,1337,56.8,187,1,483,206
303.4,311.7,1295,51.3,51,1,698,215
300.7,310.9,1356,65.3,66,1,912,256
302,310.1,1361,45.4,174,1,382,142
296.8,308.1,1289,62,199,1,37,19
300.7,309.6,1996,19.8,203,1,72,74
302.6,310.2,1325,62.4,92,1,74,167
298.9,309,1410,65.7,191,1,436,2
298.8,310.1,1243,74.5,194,1,863,35
298.5,308.2,1301,66.3,42,1,722,53
297.7,308.5,1373,56.7,203,1,779,13
299.2,310.3,1352,48.9,238,1,59,334
300.5,309.8,1324,72.8,159,1,307,75
300.6,310.7,1438,48.5,78,1,577,254
303.6,312.2,1371,54.6,112,1,647,221
302,310.8,1383,50.3,231,1,553,104
297.4,308.4,1369,50.6,220,1,9,313
301.7,309.5,1298,65.5,229,1,917,157
302.3,310.8,1377,47.3,22,1,548,91
302.6,310.2,2676,10.8,84,1,931,166
301.4,310.8,1285,62.6,183,1,868,80
300.8,309.9,1312,65.3,192,1,595,268
302.8,310.9,1312,52.2,40,1,140,187
301.7,309.9,1317,49,187,1,94,145
302,310.4,1336,58.2,110,1,993,111
299.2,310.7,1737,27,225,1,670,305
302.7,311.6,2709,9.7,2,1,339,98
302.1,310.7,1314,52.8,8,1,13,133
301,310.5,1379,57.3,204,1,72,263
302.2,310.6,1355,51.5,126,1,113,126
300.7,311.1,2478,13.4,170,1,934,278
298.4,309.5,2153,15.3,98,1,232,34
303.2,311.4,1324,54.2,228,1,972,198
299,310.4,1365,49.1,226,1,795,36
303,311.2,1374,48.2,65,1,345,188
303.3,311.5,1373,47.3,60,1,332,203
302.3,311.4,1333,66.7,205,1,214,101
298,308.7,1268,69.4,189,1,793,42
299.1,308.8,1329,53.6,207,1,117,64
299.8,309.3,1299,65.1,212,1,740,70
298.3,308.1,1412,52.3,218,1,913,5
302.2,310.6,1348,48.4,161,1,689,131
302.4,310.5,1372,45.7,144,1,92,180
301.2,311.6,1461,52.9,208,1,358,276
301.6,310.8,1355,57.8,195,1,757,81
304,313.2,1271,68.6,161,1,631,236
302.3,310.1,1353,50.9,36,1,61,161
298.9,309.1,2861,4.6,143,1,325,1
296.3,307.2,1319,68.3,24,1,679,24
303.2,311.4,1238,54.6,226,1,953,197
300.4,311.8,1272,59.2,198,1,360,295
299.5,309.4,1390,58.8,195,1,493,54
299.4,310.8,1376,53.9,215,1,242,304
301.9,310.9,1567,39,214,1,710,85
297.4,308.3,1475,40.5,222,1,715,314
299.1,309.8,1398,55.4,217,1,465,326
302.3,310.9,1710,30.4,218,1,595,132
302.3,310.9,1377,46.8,166,1,965,90
303.6,312,1309,52.9,86,1,865,219
302.6,312.1,1288,68.5,0,1,22,247
300.7,311.7,2097,18.9,232,1,290,293
300.5,309.9,1397,45.9,210,1,648,265
300.4,311.8,1553,33.1,209,1,154,302
298.5,309.7,2617,12.1,102,1,302,309
298.2,307.6,1511,31,209,1,484,47
302.7,310.6,1349,51.2,6,1,414,184
303.5,312,1366,54.5,30,1,950,224
298,308.7,1479,58.5,176,1,363,41
301,311.1,1236,64.4,177,1,53,258
303.1,312.4,1404,61.5,127,1,665,250
302.7,310.4,1305,55.2,20,1,590,176
298.6,309.8,2271,16.2,218,1,43,335
297.2,308.1,1340,61.3,207,1,186,318
302.2,310.6,1346,49.2,134,1,545,127
297.8,309,1403,64.2,0,1,625,324
302,310.5,1370,44.4,85,1,92,123
298.5,309.5,1385,46.3,203,1,713,308
296.7,307.8,1258,69,105,1,340,29
302.7,312.4,1477,46.3,251,1,822,244
302.7,310.5,1263,67.8,197,1,900,173
301.4,309.9,1259,63.9,20,1,46,148
300.7,310.4,1416,61.8,209,1,781,280
301.6,310.7,1380,51.8,216,1,147,272
300.4,311.6,1200,76.6,3,1,404,296
301.6,310.1,1326,48.2,77,1,936,151
301.7,310.9,1405,46.4,207,1,106,87
301.8,310.6,2672,11.8,124,1,270,86
301.9,310.5,1340,55.7,204,1,999,114
301.8,309.9,1334,61,182,1,298,144
300.7,311.8,1336,58.4,189,1,885,292
298.5,309.4,1360,60.9,187,1,598,337
297,307.8,1385,56.4,202,1,827,25
300.7,311.9,1335,57.1,194,1,459,299
300.3,309.9,1394,46.7,210,1,566,266
297,308.1,1362,52.5,213,1,21,33
301.8,310.2,2825,5.8,215,1,162,147
302.8,312.3,1262,70.5,234,1,758,242
298,308.5,1429,37.7,220,1,987,43
298.2,307.9,1313,67.3,67,1,889,49
299.1,308.8,1320,67.5,20,1,477,67
300.8,309.4,1342,62.4,113,1,211,78
300.8,310.7,1339,59.1,203,1,722,257
302.3,310.1,1321,52.7,134,1,341,169
299.7,309.2,1685,28.9,179,1,528,69
300.5,309.3,1417,51.5,231,1,691,71
298.2,308.5,2678,10.7,86,1,497,7
299,310.3,1303,68.6,111,1,722,306
302,310.5,1263,60.6,90,1,339,124
299.3,308.9,1258,69.4,119,1,699,55
300.8,312.4,1465,59.1,91,1,368,298
298,308.3,1405,56.2,218,1,797,11
302.5,310.4,1349,55.1,187,1,643,183
303,311.2,1361,47.6,106,1,231,189
301.7,310.2,1311,57.4,40,1,715,119
299,310.2,1377,62.5,92,1,172,328
299.6,310.7,1922,23.3,205,1,884,327
301.1,310.4,1312,73.6,49,1,595,269
301.6,310.6,1309,65.8,75,1,605,271
303.4,312,1521,35.9,215,1,302,223
301.8,310.1,2372,13.9,205,1,307,146
302.3,310.9,1366,48.4,130,1,453,95
302.7,312.2,1450,52.1,213,1,293,246
302.3,311.8,1369,56.2,208,1,702,252
298.3,309.3,1337,56.1,206,1,871,338
301.9,310.4,1370,51.7,153,1,598,113
299.2,308.6,1267,68.2,76,1,450,63
302.4,310.2,1346,62.4,106,1,952,179
303.2,311.4,1349,51.1,9,1,819,200
297.4,308.8,1325,62.4,204,1,449,316
298.9,309.8,1287,61.9,216,1,980,331
301.9,310.6,1331,68.6,85,1,897,108
303.4,311.4,1307,54,44,1,817,202
301.5,310.7,1336,65.6,0,1,973,273
298,308.2,1348,58.8,202,1,385,9
299.2,308.5,1378,50.4,220,1,584,61
302.6,311,1369,60,93,1,852,135
304.4,313.7,1509,35,205,1,84,238
302.8,312.4,1411,53.8,246,1,568,243
298.8,308.9,1455,41.3,208,1,806,3
302.1,310.7,1359,49.3,41,1,653,134
302.3,310.9,1379,49.3,34,1,721,92
300.3,310.3,1362,60.3,206,1,977,282
303.4,311.8,1306,61,215,1,430,210
302.6,311,1329,48.6,111,1,774,138
302,310.9,1378,53.1,212,1,178,84
303.4,312.6,2706,9.8,65,1,654,241
300.6,311.9,1372,60.1,212,1,17,285
299.6,309.2,1867,23.4,225,1,613,56
303.3,311.6,1301,45.1,219,1,427,211
297.5,308.3,2564,12.8,127,1,184,14
303.8,313.1,1256,58.7,213,1,104,233
302,309.7,1386,62.7,142,1,489,153
303.7,312,2663,11.4,71,1,439,218
302.2,310.1,1368,51.6,12,1,688,160
303.5,312.4,1284,70.6,94,1,378,231
302.1,310.7,1376,46.3,210,1,636,116
302.4,310.2,1351,45.1,168,1,508,182
303.4,311.8,1366,50.9,200,1,122,208
301.8,309.7,1442,45.3,233,1,282,158
298.4,308.2,1282,60.7,216,1,17,4
300.8,310.1,1405,61.2,189,1,83,262
299,310.4,1371,53.8,228,1,157,37
300.5,309.8,1379,54.2,207,1,462,76
298.4,308.3,1433,62.3,20,1,285,6
302.4,310.3,1375,52.5,161,1,867,181
299.1,310.1,1435,48.8,229,1,847,332
296.9,307.8,1400,57.1,202,1,810,32
303.3,311.8,1315,62,42,1,112,226
303.4,311.8,1401,53,208,1,292,222
299.3,308.4,1542,37.5,203,1,210,58
299.3,308.6,1384,53.6,218,1,717,60
299.4,308.7,1446,62.9,134,1,302,59
297.3,308.1,1615,35.4,217,1,782,321
303.4,311.9,1298,63.9,59,1,168,227
298.5,309.5,1294,66.7,12,1,459,336
303,311.3,1335,53.6,164,1,115,193
299.1,310.2,1317,54.8,231,1,612,333
300.5,311.2,1270,67.5,208,1,947,291
302,311.2,1270,65.3,182,1,474,88
302.6,311.5,1442,59.8,169,1,302,99
302.6,310.4,1365,66.8,80,1,103,165
302.9,311.2,1330,53.7,200,1,285,196
303.4,311.8,1341,47,210,1,280,209
303.4,312.2,1337,69.4,52,1,675,230
303.2,311.4,1351,53.8,8,1,563,213
299.6,310.9,1229,65.2,209,1,979,303
300.5,311.8,1524,38.9,214,1,769,286
303.8,313.1,2497,13,5,1,389,234
300.7,311.9,1399,50.2,222,1,462,301
302.2,311.3,1530,37.3,207,1,620,89
302.2,310.6,1346,47.5,109,1,206,125
302.7,310.8,1275,55,25,1,307,186
299.5,308.7,2549,13,179,1,226,57
300.8,311.4,1322,67.2,18,1,475,277
298.7,309.8,1181,65.9,203,1,661,310
301.7,311,1441,44.3,208,1,147,274
302.4,310.7,1362,54.8,155,1,689,129
301.5,310.9,2760,8,15,1,161,82
302.6,310.4,1359,57.2,67,1,252,177
302.4,311.9,1290,70,139,1,536,251
301.6,310.1,1362,55.8,70,1,322,150
301.5,310.4,2639,12,21,1,283,83
303.6,311.8,1222,66.8,148,1,219,205
297.9,307.4,1604,36.1,225,1,119,46
297.3,308.2,1396,52.7,212,1,422,320
302.6,310.9,1331,52,154,1,785,141
302.5,310.2,1329,50.6,148,1,823,170
296.4,307.4,2833,5.6,213,1,735,20
301,312.2,2710,9.7,143,1,507,300
297.8,308.9,1871,25.6,200,1,524,323
300.7,310.2,1364,65.3,208,1,708,253
303,311.3,1365,56.2,146,1,208,192
298.2,308.4,1310,61,189,1,995,44
296.6,307.7,1386,62.3,100,1,106,28
303.4,311.8,1316,50.9,69,1,944,228
302.1,310,1355,45.1,6,1,893,159
303.7,312.1,1363,51.8,90,1,68,229
298.9,310.2,2737,8.8,142,1,409,38
297.8,307.3,1327,61,186,1,461,51
301.9,309.9,1374,48.5,180,1,632,143
302.4,310.2,1331,45.5,53,1,782,162
298.8,309.9,1439,45.2,40,1,42,40
300.8,310.6,1577,37.9,227,1,19,260
302.2,310.6,1334,53.2,159,1,704,130
301.7,309.8,1284,68.2,111,1,556,152
302,309.9,1308,57.6,197,1,820,156
296.9,307.8,1549,35.8,206,1,369,26
298.6,308.2,1361,68.2,172,1,226,339
302.4,310.1,1358,54.6,61,1,325,164
302.4,310.1,1379,48.9,107,1,229,168
297.2,308.1,1431,49.7,210,1,818,319
302,310.4,1212,55.6,79,1,370,122
303.4,311.7,1353,44.1,192,1,348,207
300.6,309.4,1380,47.6,246,1,766,72
300.2,311,1255,71.8,149,1,223,289
297.5,308.1,1334,72,151,1,931,312
302.1,311,1351,60.3,207,1,204,103
301.9,310.4,1373,48,73,1,960,121
297,307.8,1316,61.2,200,1,744,31
302.6,311.6,1227,68.2,187,1,842,100
303.6,311.8,1421,44.8,101,1,168,204
302.6,312.3,1454,54.8,253,1,753,245
303.6,312.8,2659,11.4,26,1,585,235
298,308.2,1365,52.9,218,1,47,45
299,309.9,1373,55.7,201,1,635,329
302.1,310.7,1325,45.1,208,1,436,115
302.3,310.9,1360,44,67,1,808,93
301.1,310.7,2636,12.2,100,1,708,275
302.4,310.3,1374,51.2,163,1,395,171
302.7,311.1,1297,60.7,125,1,583,140
302.4,310.9,1349,46.1,148,1,567,128
303.5,311.9,1344,49.3,93,1,532,220
299.9,310.2,1288,69.6,62,1,681,283
301.9,310.9,1419,47.7,20,1,850,106
297.9,309.8,1336,71.6,31,1,141,18
302,309.8,1280,57.3,147,1,121,154
300.6,310.3,1648,30.5,217,1,965,281
299.2,309,1515,48.9,228,1,579,65
303,311.1,1372,54.3,117,1,219,191
300.4,309.9,2563,12.8,81,1,31,77
301.8,310.3,1341,50.5,64,1,750,149
296.9,307.5,2721,9.3,18,1,641,27
300.6,309.4,1367,63.2,45,1,743,73
302,310.4,1357,58,108,1,681,110
298.1,308.2,1420,63.9,19,1,607,12
299.7,309.3,1399,41.9,221,1,132,68
300.3,311.2,1381,65.2,136,1,166,288
303.8,313,1365,59.9,205,1,703,239
304,312.9,1363,62.5,200,1,472,237
302.5,310.3,1326,58.5,55,1,548,163
301,311,1399,58,190,1,437,259
